METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sprintcore,swiftcore,fastcore
AMINO ACIDS METABOLISM,LEUCINE METABOLISM,Conversion of leucine to acetyl-coA,true,true,true
AMINO ACIDS METABOLISM,LYSINE METABOLISM,Lysine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,LYSINE METABOLISM,Lysine degradation,true,true,true
AMINO ACIDS METABOLISM,LYSINE METABOLISM,Conversion of lysine to L-Saccharopine,true,true,true
AMINO ACIDS METABOLISM,LYSINE METABOLISM,Conversion of lysine to L-2-Aminoadipate,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,METHIONINE METABOLISM,Methionine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,METHIONINE METABOLISM,Methionine degradation,true,true,true
AMINO ACIDS METABOLISM,METHIONINE METABOLISM,S-adenosyl-L-methionine synthesis,true,true,true
AMINO ACIDS METABOLISM,ORNITHINE METABOLISM,Ornithine degradation,true,true,true
AMINO ACIDS METABOLISM,ORNITHINE METABOLISM,Synthesis of ornithine from glutamine,true,true,true
AMINO ACIDS METABOLISM,ORNITHINE METABOLISM,Synthesis of spermidine from ornithine,true,true,true
AMINO ACIDS METABOLISM,SERINE METABOLISM,Serine synthesis,true,true,true
AMINO ACIDS METABOLISM,SERINE METABOLISM,Serine degradation,true,true,true
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine degradation,FAIL (should NOT fail),FAIL (should NOT fail),true
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine to phenylacetaldehyde,true,true,true
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine to phenylacetyl-L-glutaminate,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine to tyrosine,true,true,true
AMINO ACIDS METABOLISM,PROLINE METABOLISM,Proline synthesis,true,true,true
AMINO ACIDS METABOLISM,PROLINE METABOLISM,Proline degradation,true,true,true
AMINO ACIDS METABOLISM,PROLINE METABOLISM,Synthesis of proline from glutamine,true,true,true
AMINO ACIDS METABOLISM,THREONINE METABOLISM,Threonine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,THREONINE METABOLISM,Threonine degradation,true,true,true
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Tryptophan synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Tryptophan degradation,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of anthranilate from tryptophan,true,true,true
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of kynate from tryptophan,true,true,true
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of L-kynurenine from tryptophan,true,true,true
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of N-formylanthranilate from tryptophan,true,true,true
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of quinolinate from tryptophan,true,true,true
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of serotonin from tryptophan,true,true,true
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
