METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sp0,sp2,sp6,sw0,sw2,sw6,f0,f2,f6
AMINO ACIDS METABOLISM,LEUCINE METABOLISM,Leucine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,LEUCINE METABOLISM,Leucine degradation,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,LEUCINE METABOLISM,Conversion of leucine to acetyl-coA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,LYSINE METABOLISM,Lysine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,LYSINE METABOLISM,Lysine degradation,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE
AMINO ACIDS METABOLISM,LYSINE METABOLISM,Conversion of lysine to L-Saccharopine,FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE
AMINO ACIDS METABOLISM,LYSINE METABOLISM,Conversion of lysine to L-2-Aminoadipate,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,METHIONINE METABOLISM,Methionine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,METHIONINE METABOLISM,Methionine degradation,TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,FAIL (should NOT fail)
AMINO ACIDS METABOLISM,METHIONINE METABOLISM,S-adenosyl-L-methionine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ORNITHINE METABOLISM,Ornithine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ORNITHINE METABOLISM,Synthesis of ornithine from glutamine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ORNITHINE METABOLISM,Synthesis of spermidine from ornithine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,SERINE METABOLISM,Serine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,SERINE METABOLISM,Serine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine degradation,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine to phenylacetaldehyde,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine to phenylacetyl-L-glutaminate,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,Phenylalanine to tyrosine,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,PROLINE METABOLISM,Proline synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,PROLINE METABOLISM,Proline degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,PROLINE METABOLISM,Synthesis of proline from glutamine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,THREONINE METABOLISM,Threonine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,THREONINE METABOLISM,Threonine degradation,TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,FAIL (should NOT fail)
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Tryptophan synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Tryptophan degradation,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
